bicycle_id,start_time,end_time,start_location,end_location
86602,2015-01-01 00:04:00,2015-01-01 00:10:00,0802,0508
86157,2015-01-01 00:04:00,2015-01-01 00:16:00,0802,0508
86091,2015-01-01 00:08:00,2015-01-01 00:32:00,0513,1106
86908,2015-01-01 00:09:00,2015-01-01 00:29:00,0513,0604
86758,2015-01-01 00:10:00,2015-01-01 00:11:00,0508,0508
86075,2015-01-01 00:15:00,2015-01-01 00:21:00,0516,0901
86814,2015-01-01 00:19:00,2015-01-01 00:30:00,0902,0902
86176,2015-01-01 00:19:00,2015-01-01 00:30:00,0902,0902
86548,2015-01-01 00:22:00,2015-01-01 00:31:00,0611,0705
86027,2015-01-01 00:22:00,2015-01-01 00:31:00,0611,0705
86103,2015-01-01 00:22:00,2015-01-01 00:40:00,0905,1106
87014,2015-01-01 00:23:00,2015-01-01 00:39:00,0905,1106
86867,2015-01-01 00:25:00,2015-01-01 00:52:00,0508,0606
86932,2015-01-01 00:29:00,2015-01-01 00:30:00,0510,0510
87056,2015-01-01 00:35:00,2015-01-01 00:42:00,0705,0707
86027,2015-01-01 00:35:00,2015-01-01 00:44:00,0705,0707
86805,2015-01-01 00:36:00,2015-01-01 00:50:00,1101,0518
86620,2015-01-01 00:37:00,2015-01-01 00:53:00,1101,0518
86950,2015-01-01 00:45:00,2015-01-01 00:50:00,0515,0802
87070,2015-01-01 00:52:00,2015-01-01 00:58:00,0802,0518
87070,2015-01-01 00:59:00,2015-01-01 01:02:00,0518,0518
86667,2015-01-01 00:59:00,2015-01-01 01:08:00,0609,0604
86677,2015-01-01 01:04:00,2015-01-01 01:19:00,0703,0806
86808,2015-01-01 01:04:00,2015-01-01 01:19:00,0703,0806
86199,2015-01-01 01:10:00,2015-01-01 01:31:00,0102,1108
86513,2015-01-01 01:12:00,2015-01-01 01:27:00,0707,0609
86339,2015-01-01 01:14:00,2015-01-01 01:21:00,0601,0603
86679,2015-01-01 01:15:00,2015-01-01 01:22:00,0601,0603
87036,2015-01-01 01:15:00,2015-01-01 01:24:00,0905,0809
86820,2015-01-01 01:16:00,2015-01-01 01:26:00,0905,0809
86042,2015-01-01 01:16:00,2015-01-01 01:24:00,0905,0809
86955,2015-01-01 01:19:00,2015-01-01 01:38:00,0807,0606
86846,2015-01-01 01:26:00,2015-01-01 01:38:00,0709,0604
86121,2015-01-01 01:26:00,2015-01-01 01:38:00,0709,0604
